ct,GEOID,svi_ptile,transit_ptile,asthmavalue,PTRAF,PTRAF_bycensus,No_of_Stops,PTover45m_pct,,,,,,,,,,,,,,,
24510150100,245101501003,0.934,0.839753467,0.143,452.7010012,929.9723091,6,53.21,,,,,,,,,,,,,,,
24510150200,245101502001,0.6954,0.731895223,0.133,855.789763,1233.111014,7,51.49,,,,,,,,,,,,,,,
24510150200,245101502002,0.6954,0.731895223,0.133,1323.804948,1233.111014,7,51.49,,,,,,,,,,,,,,,
24510150200,245101502003,0.6954,0.731895223,0.133,1519.738332,1233.111014,7,51.49,,,,,,,,,,,,,,,
24510150300,245101503001,0.5228,0.648690293,0.129,1028.962152,747.5375545,9,48.59,,,,,,,,,,,,,,,
24510150300,245101503002,0.5228,0.648690293,0.129,402.1633425,747.5375545,9,48.59,,,,,,,,,,,,,,,
24510150300,245101503003,0.5228,0.648690293,0.129,811.487169,747.5375545,9,48.59,,,,,,,,,,,,,,,
24510150400,245101504001,0.868,0.335901387,0.136,2428.80148,1692.832349,28,63.71,,,,,,,,,,,,,,,
24510150400,245101504002,0.868,0.335901387,0.136,1692.738384,1692.832349,28,63.71,,,,,,,,,,,,,,,
24510150400,245101504003,0.868,0.335901387,0.136,956.9571825,1692.832349,28,63.71,,,,,,,,,,,,,,,
24510150500,245101505001,0.6802,0.567026194,0.13,3419.430681,2515.262831,39,69.61,,,,,,,,,,,,,,,
24510150500,245101505002,0.6802,0.567026194,0.13,1611.094981,2515.262831,39,69.61,,,,,,,,,,,,,,,
24510150600,245101506001,0.9036,0.713405239,0.129,1200.821628,1241,20,79.48,,,,,,,,,,,,,,,
24510150600,245101506002,0.9036,0.713405239,0.129,560.4521729,1241,20,79.48,,,,,,,,,,,,,,,
24510150600,245101506003,0.9036,0.713405239,0.129,895.5993858,1241,20,79.48,,,,,,,,,,,,,,,
24510150600,245101506004,0.9036,0.713405239,0.129,1715.084347,1241.015999,20,79.48,,,,,,,,,,,,,,,
24510150600,245101506005,0.9036,0.713405239,0.129,1833.122462,1241.015999,20,79.48,,,,,,,,,,,,,,,
24510150701,245101507011,0.2741,0.212634823,0.12,1280.998952,1655.753924,20,50.75,,,,,,,,,,,,,,,
24510150701,245101507012,0.2741,0.212634823,0.12,1606.882933,1655.753924,20,50.75,,,,,,,,,,,,,,,
24510150701,245101507013,0.2741,0.212634823,0.12,2079.379888,1655.753924,20,50.75,,,,,,,,,,,,,,,
24510150702,245101507021,0.4619,0.73651772,0.121,968.2107779,1557.498386,3,67.03,,,,,,,,,,,,,,,
